date,city,precipitation,month,year
2020-01-01,NYC,0.013333,1,2020
2020-01-02,NYC,0.0,1,2020
2020-01-03,NYC,0.134444,1,2020
2020-01-04,NYC,0.2,1,2020
2020-01-05,NYC,0.04,1,2020
2020-01-06,NYC,0.017778,1,2020
2020-01-07,NYC,0.01,1,2020
2020-01-08,NYC,0.033333,1,2020
2020-01-09,NYC,0.001111,1,2020
2020-01-10,NYC,0.0,1,2020
2020-01-11,NYC,0.0,1,2020
2020-01-12,NYC,0.06,1,2020
2020-01-13,NYC,0.003333,1,2020
2020-01-14,NYC,0.0125,1,2020
2020-01-15,NYC,0.014444,1,2020
2020-01-16,NYC,0.071111,1,2020
2020-01-17,NYC,0.002222,1,2020
2020-01-18,NYC,0.154444,1,2020
2020-01-19,NYC,0.402222,1,2020
2020-01-20,NYC,0.0,1,2020
2020-01-21,NYC,0.0,1,2020
2020-01-22,NYC,0.0,1,2020
2020-01-23,NYC,0.0,1,2020
2020-01-24,NYC,0.0,1,2020
2020-01-25,NYC,0.267778,1,2020
2020-01-26,NYC,0.63,1,2020
2020-01-27,NYC,0.001111,1,2020
2020-01-28,NYC,0.001111,1,2020
2020-01-29,NYC,0.0,1,2020
2020-01-30,NYC,0.0,1,2020
2020-01-31,NYC,0.006667,1,2020
2020-02-01,NYC,0.014444,2,2020
2020-02-02,NYC,0.0375,2,2020
2020-02-03,NYC,0.035714,2,2020
2020-02-04,NYC,0.014444,2,2020
2020-02-05,NYC,0.02,2,2020
2020-02-06,NYC,0.524444,2,2020
2020-02-07,NYC,0.218889,2,2020
2020-02-08,NYC,0.081111,2,2020
2020-02-09,NYC,0.002222,2,2020
2020-02-10,NYC,0.15375,2,2020
2020-02-11,NYC,0.516667,2,2020
2020-02-12,NYC,0.095556,2,2020
2020-02-13,NYC,0.384444,2,2020
2020-02-14,NYC,0.088889,2,2020
2020-02-15,NYC,0.001111,2,2020
2020-02-16,NYC,0.0,2,2020
2020-02-17,NYC,0.0,2,2020
2020-02-18,NYC,0.0,2,2020
2020-02-19,NYC,0.005556,2,2020
2020-02-20,NYC,0.0,2,2020
2020-02-21,NYC,0.0,2,2020
2020-02-22,NYC,0.0,2,2020
2020-02-23,NYC,0.0,2,2020
2020-02-24,NYC,0.001111,2,2020
2020-02-25,NYC,0.044444,2,2020
2020-02-26,NYC,0.14,2,2020
2020-02-27,NYC,0.815556,2,2020
2020-02-28,NYC,0.001111,2,2020
2020-02-29,NYC,0.0,2,2020
2020-03-01,NYC,0.0,3,2020
2020-03-02,NYC,0.0,3,2020
2020-03-03,NYC,0.124444,3,2020
2020-03-04,NYC,0.237778,3,2020
2020-03-05,NYC,0.0025,3,2020
2020-03-06,NYC,0.05625,3,2020
2020-03-07,NYC,0.06125,3,2020
2020-03-08,NYC,0.00125,3,2020
2020-03-09,NYC,0.0,3,2020
2020-03-10,NYC,0.0,3,2020
2020-03-11,NYC,0.0,3,2020
2020-03-12,NYC,0.04625,3,2020
2020-03-13,NYC,0.346667,3,2020
2020-03-14,NYC,0.066667,3,2020
2020-03-15,NYC,0.0,3,2020
2020-03-16,NYC,0.0,3,2020
2020-03-17,NYC,0.147778,3,2020
2020-03-18,NYC,0.026667,3,2020
2020-03-19,NYC,0.928889,3,2020
2020-03-20,NYC,0.028889,3,2020
2020-03-21,NYC,0.0,3,2020
